,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
KALIMANTAN SELATAN,181963,195523,190694,183070,182876,198436,195700,193919,189033,192480,187874,208108,195702,188928,183307,172722
TANAH LAUT,15218,14698,19014,13654,14309,14790,15240,15308,14870,15449,14787,15862,13541,13222,13404,10830
KOTABARU,15894,15374,14777,14656,15050,14720,14780,14440,15167,15287,14597,16834,15065,15322,15978,15892
BANJAR,16983,16438,15732,15287,15719,18050,17360,16846,15615,15914,15124,18067,16711,14773,14461,16917
BARITO KUALA,15819,15278,14670,14909,15318,15960,15710,15643,14085,14488,14251,16099,15055,14707,14044,13695
TAPIN,9369,9089,8717,6045,6518,7010,6810,7011,6979,6507,5899,6925,6982,6224,6554,5766
HULU SUNGAI SELATAN,16304,15761,15146,14836,15233,14590,14420,13447,12224,12636,12385,11466,10804,9607,8114,7549
HULU SUNGAI TENGAH,15385,14891,14274,14181,14557,15080,16220,16169,16140,16096,15470,16770,16144,16008,16027,13935
HULU SUNGAI UTARA,16241,15664,15045,15228,15623,15940,15380,15352,14919,15398,14718,16186,15497,15018,13929,11706
TABALONG,14358,13924,13338,14305,14709,15710,15400,15003,14874,15222,14695,16128,15243,15153,14968,12500
TANAH BUMBU,17454,16921,16294,16039,16563,17910,17480,17016,17063,17348,16832,18919,17216,17172,14677,13812
BALANGAN,8722,9412,8062,7383,7664,7280,7090,7213,7214,7266,7064,8062,7825,7074,6680,6423
KOTA BANJARMASIN,31606,30555,29312,27777,28537,29950,28750,28932,29240,29648,31307,34839,34009,33467,33376,33160
KOTA BANJAR BARU,12021,11603,11126,9997,9965,11460,11060,11539,10643,11221,10745,11951,11610,11181,11065,10267
